time,pivot_x,pivot_y,ball1L_x,ball1L_y,ball2L_x,ball2L_y,ball3L_x,ball3L_y,ball1R_x,ball1R_y,ball2R_x,ball2R_y,ball3R_x,ball3R_y,barL_x,barL_y,barR_x,barR_y
0.0000,0.000000,0.000000,-1.850562,-0.988771,-1.850562,-1.988771,-1.950395,-2.983775,1.900167,-0.995004,1.950146,-1.993754,1.950146,-2.993754,-2.000000,-0.000000,2.000000,0.000000
0.0100,0.000000,0.000000,-1.850752,-1.038879,-1.850582,-2.038879,-1.950357,-3.033889,1.900339,-0.945099,1.950116,-1.943859,1.950146,-2.943859,-1.999375,-0.049985,1.999375,0.049985
0.0200,0.000000,0.000000,-1.851322,-1.089194,-1.850643,-2.089193,-1.950243,-3.084221,1.900854,-0.895383,1.950028,-1.894173,1.950146,-2.894173,-1.997502,-0.099935,1.997502,0.099935
0.0300,0.000000,0.000000,-1.852275,-1.139695,-1.850747,-2.139694,-1.950051,-3.134751,1.901706,-0.845853,1.949881,-1.844692,1.950145,-2.844692,-1.994379,-0.149844,1.994379,0.149844
0.0400,0.000000,0.000000,-1.853610,-1.190357,-1.850897,-2.190353,-1.949778,-3.185452,1.902886,-0.796496,1.949677,-1.795400,1.950145,-2.795400,-1.990005,-0.199702,1.990005,0.199702
0.0500,0.000000,0.000000,-1.855324,-1.241142,-1.851095,-2.241133,-1.949421,-3.236287,1.904385,-0.747292,1.949415,-1.746277,1.950144,-2.746277,-1.984376,-0.249504,1.984376,0.249504
0.0600,0.000000,0.000000,-1.857410,-1.292006,-1.851346,-2.291988,-1.948976,-3.287210,1.906190,-0.698214,1.949096,-1.697293,1.950142,-2.697292,-1.977487,-0.299241,1.977487,0.299241
0.0700,0.000000,0.000000,-1.859858,-1.342897,-1.851657,-2.342863,-1.948439,-3.338169,1.908284,-0.649228,1.948720,-1.648410,1.950139,-2.648409,-1.969331,-0.348907,1.969331,0.348907
0.0800,0.000000,0.000000,-1.862648,-1.393753,-1.852033,-2.393697,-1.947805,-3.389100,1.910642,-0.600293,1.948289,-1.599584,1.950134,-2.599582,-1.959899,-0.398493,1.959899,0.398493
0.0900,0.000000,0.000000,-1.865753,-1.444505,-1.852482,-2.444417,-1.947068,-3.439934,1.913235,-0.551362,1.947804,-1.550764,1.950128,-2.550762,-1.949180,-0.447992,1.949180,0.447992
0.1000,0.000000,0.000000,-1.869134,-1.495076,-1.853014,-2.494947,-1.946221,-3.490593,1.916023,-0.502383,1.947267,-1.501895,1.950118,-2.501891,-1.937163,-0.497393,1.937163,0.497393
