time,pivot_x,pivot_y,tipA_x,tipA_y,tipB_x,tipB_y,tipC_x,tipC_y,ball1A_x,ball1A_y,ball2A_x,ball2A_y,ball1B_x,ball1B_y,ball2B_x,ball2B_y,ball1C_x,ball1C_y,ball2C_x,ball2C_y
0.0000,0.000000,0.000000,-0.900000,1.558846,1.800000,0.000000,-1.157018,-1.378880,-0.801038,1.171281,-0.663879,0.795532,1.662841,-0.375749,1.818608,-0.744173,-1.073634,-1.770092,-1.334367,-2.073437
0.0100,0.000000,0.000000,-0.946511,1.531051,1.799184,0.054177,-1.114991,-1.413080,-0.847739,1.143438,-0.710523,0.767709,1.663046,-0.321943,1.818533,-0.690486,-1.032635,-1.804510,-1.292770,-2.108368
0.0200,0.000000,0.000000,-0.992481,1.501660,1.796716,0.108684,-1.071650,-1.446225,-0.894308,1.113894,-0.756921,0.738228,1.663651,-0.268534,1.818311,-0.637425,-0.992391,-1.838294,-1.250692,-2.143712
0.0300,0.000000,0.000000,-1.037854,1.470666,1.792561,0.163475,-1.027007,-1.478261,-0.940743,1.082633,-0.803065,0.707074,1.664647,-0.215521,1.817939,-0.584982,-0.952942,-1.871345,-1.208090,-2.179402
0.0400,0.000000,0.000000,-1.082568,1.438070,1.786689,0.218496,-0.981084,-1.509130,-0.987045,1.049644,-0.848953,0.674236,1.666040,-0.162874,1.817410,-0.533127,-0.914342,-1.903523,-1.164891,-2.215332
0.0500,0.000000,0.000000,-1.126551,1.403882,1.779073,0.273680,-0.933914,-1.538767,-1.033218,1.014923,-0.894585,0.639715,1.667845,-0.110544,1.816708,-0.481812,-0.876660,-1.934648,-1.120999,-2.251348
0.0600,0.000000,0.000000,-1.169720,1.368121,1.769688,0.328946,-0.885546,-1.567102,-1.079269,0.978482,-0.939963,0.603524,1.670083,-0.058454,1.815808,-0.430965,-0.839971,-1.964497,-1.076281,-2.287232
0.0700,0.000000,0.000000,-1.211983,1.330826,1.758521,0.384195,-0.836045,-1.594060,-1.125213,0.940351,-0.985099,0.565693,1.672777,-0.006507,1.814682,-0.380490,-0.804351,-1.992803,-1.030571,-2.322688
0.0800,0.000000,0.000000,-1.253234,1.292054,1.745569,0.439305,-0.785503,-1.619563,-1.171065,0.900585,-1.030013,0.526280,1.675945,0.045411,1.813293,-0.330269,-0.769856,-2.019257,-0.983670,-2.357316
0.0900,0.000000,0.000000,-1.293353,1.251893,1.730848,0.494130,-0.734042,-1.643527,-1.216847,0.859278,-1.074737,0.485373,1.679588,0.097428,1.811602,-0.280159,-0.736503,-2.043520,-0.935351,-2.390592
0.1000,0.000000,0.000000,-1.332204,1.210467,1.714398,0.548489,-0.681826,-1.665867,-1.262581,0.816573,-1.119320,0.443108,1.683678,0.149671,1.809569,-0.230002,-0.704221,-2.065240,-0.885387,-2.421861
0.1100,0.000000,0.000000,-1.369634,1.167948,1.696290,0.602164,-0.629069,-1.686497,-1.308287,0.772680,-1.163836,0.399674,1.688152,0.202247,1.807162,-0.179639,-0.672810,-2.084098,-0.833593,-2.450362
0.1200,0.000000,0.000000,-1.405479,1.124557,1.676635,0.654902,-0.576036,-1.705339,-1.353974,0.727887,-1.208381,0.355325,1.692902,0.255233,1.804362,-0.128924,-0.641890,-2.099881,-0.779892,-2.475322
0.1300,0.000000,0.000000,-1.439579,1.080561,1.655583,0.706432,-0.523030,-1.722336,-1.399623,0.682562,-1.253077,0.310373,1.697782,0.308664,1.801165,-0.077745,-0.610909,-2.112563,-0.724382,-2.496130
0.1400,0.000000,0.000000,-1.471805,1.036239,1.633311,0.756501,-0.470359,-1.737459,-1.445182,0.637126,-1.298060,0.265164,1.702613,0.362550,1.797583,-0.026012,-0.579233,-2.122356,-0.667351,-2.512530
0.1500,0.000000,0.000000,-1.502081,0.991843,1.610002,0.804919,-0.418285,-1.750725,-1.490551,0.592009,-1.343464,0.220034,1.707194,0.416907,1.793629,0.026357,-0.546298,-2.129687,-0.609210,-2.524709
0.1600,0.000000,0.000000,-1.530399,0.947565,1.585815,0.851582,-0.366993,-1.762191,-1.535591,0.547599,-1.389399,0.175271,1.711291,0.471772,1.789321,0.079456,-0.511730,-2.135086,-0.550387,-2.533214
0.1700,0.000000,0.000000,-1.556806,0.903523,1.560877,0.896472,-0.316575,-1.771942,-1.580126,0.504204,-1.435944,0.131093,1.714633,0.527203,1.784676,0.133384,-0.475368,-2.139073,-0.491236,-2.538758
0.1800,0.000000,0.000000,-1.581389,0.859773,1.535279,0.939637,-0.267055,-1.780079,-1.623966,0.462045,-1.483144,0.087653,1.716914,0.583254,1.779717,0.188215,-0.437214,-2.142082,-0.432009,-2.542048
0.1900,0.000000,0.000000,-1.604251,0.816319,1.509079,0.981163,-0.218403,-1.786701,-1.666908,0.421257,-1.531014,0.045049,1.717817,0.639947,1.774471,0.243979,-0.397352,-2.144440,-0.372864,-2.543690
0.2000,0.000000,0.000000,-1.625501,0.773140,1.482309,1.021156,-0.170559,-1.791901,-1.708757,0.381900,-1.579545,0.003345,1.717036,0.697268,1.768969,0.300654,-0.355896,-2.146373,-0.313896,-2.544162
0.2100,0.000000,0.000000,-1.645241,0.730193,1.454986,1.059724,-0.123451,-1.795762,-1.749320,0.343971,-1.628710,-0.037413,1.714295,0.755160,1.763239,0.358166,-0.312953,-2.148024,-0.255160,-2.543827
0.2200,0.000000,0.000000,-1.663562,0.687432,1.427115,1.096970,-0.077003,-1.798352,-1.788416,0.307417,-1.678470,-0.077176,1.709358,0.813529,1.757302,0.416413,-0.268613,-2.149473,-0.196684,-2.542953
0.2300,0.000000,0.000000,-1.680541,0.644812,1.398694,1.132985,-0.031146,-1.799731,-1.825875,0.272149,-1.728776,-0.115887,1.702036,0.872248,1.751171,0.475277,-0.222941,-2.150750,-0.138487,-2.541733
0.2400,0.000000,0.000000,-1.696244,0.602292,1.369722,1.167844,0.014180,-1.799944,-1.861538,0.238043,-1.779570,-0.153469,1.692184,0.931162,1.744849,0.534644,-0.175983,-2.151851,-0.080578,-2.540306
0.2500,0.000000,0.000000,-1.710725,0.559841,1.340198,1.201611,0.059024,-1.799032,-1.895258,0.204950,-1.830779,-0.189819,1.679698,0.990092,1.738330,0.594412,-0.127766,-2.152740,-0.022966,-2.538767
0.2600,0.000000,0.000000,-1.724025,0.517434,1.310123,1.234333,0.103423,-1.797026,-1.926901,0.172700,-1.882317,-0.224807,1.664512,1.048838,1.731598,0.654503,-0.078305,-2.153362,0.034341,-2.537173
0.2700,0.000000,0.000000,-1.736180,0.475056,1.279501,1.266048,0.147402,-1.793955,-1.956353,0.141104,-1.934076,-0.258275,1.646599,1.107181,1.724625,0.714865,-0.027601,-2.153641,0.091331,-2.535550
0.2800,0.000000,0.000000,-1.747218,0.432700,1.248338,1.296785,0.190979,-1.789840,-1.983517,0.109958,-1.985918,-0.290035,1.625967,1.164888,1.717374,0.775472,0.024351,-2.153482,0.147989,-2.533894
0.2900,0.000000,0.000000,-1.757162,0.390363,1.216645,1.326565,0.234163,-1.784704,-2.008323,0.079047,-2.037670,-0.319875,1.602658,1.221714,1.709792,0.836328,0.077565,-2.152776,0.204295,-2.532169
0.3000,0.000000,0.000000,-1.766031,0.348046,1.184432,1.355404,0.276962,-1.778565,-2.030727,0.048153,-2.089111,-0.347563,1.576754,1.277407,1.701812,0.897459,0.132057,-2.151395,0.260221,-2.530307
0.3100,0.000000,0.000000,-1.773842,0.305753,1.151711,1.383316,0.319376,-1.771440,-2.050716,0.017065,-2.139967,-0.372851,1.548369,1.331717,1.693344,0.958913,0.187843,-2.149195,0.315731,-2.528200
0.3200,0.000000,0.000000,-1.780611,0.263488,1.118492,1.410310,0.361407,-1.763345,-2.068309,-0.014414,-2.189895,-0.395488,1.517652,1.384397,1.684278,1.020755,0.244936,-2.146012,0.370782,-2.525700
